setup_id,count_financial_results,max_severity_financial_results,sentiment_score_financial_results,profit_warning,count_corporate_actions,max_severity_corporate_actions,sentiment_score_corporate_actions,capital_raise,count_governance,max_severity_governance,sentiment_score_governance,board_change,count_corporate_events,max_severity_corporate_events,sentiment_score_corporate_events,contract_award,merger_acquisition,count_other_signals,max_severity_other_signals,sentiment_score_other_signals,broker_recommendation,credit_rating_change,posts_avg_sentiment,post_count,community_sentiment_score,bull_bear_ratio,rumor_intensity,trusted_user_sentiment,posts_relevance,engagement_score,unique_users,contrarian_signal_numeric,recommendation_count,buy_recommendations,sell_recommendations,hold_recommendations,coverage_breadth,consensus_rating,recent_upgrades,recent_downgrades,analyst_conviction_score,label
FOXT_2025-06-26,1,0.0,0.8,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,3,0.0,0.0,0,0,0.6666667,6,0.2,1.5,0.1,0.3,0.8,0.7,3,0,81,324,0,81,3,2.5,0,0,0.5,negative
GROW_2025-06-24,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.18985507,69,0.0,0.0,0.0,0.0,0.5,0.25,20,0,132,528,0,132,4,2.5,0,0,0.5,positive
ENOG_2025-06-20,1,0.7,-0.5,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,-0.04347826,23,0.0,1.0,0.25,0.0,0.7,0.55,18,0,12,44,0,40,3,2.5,0,0,0.5,neutral
PTEC_2025-06-20,1,0.0,0.2,0,1,0.0,0.0,0,1,0.0,0.0,0,1,0.5,0.0,0,1,1,0.0,0.0,0,0,0.30612245,49,0.0,0.33333334,0.06666667,0.0,0.56666666,0.46666667,33,0,87,348,0,145,3,2.5,0,0,0.5,positive
PAY_2025-06-12,1,0.0,0.1,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.9,12,0.0,0.0,0.0,0.0,0.5,0.5,3,0,87,203,87,0,3,3.0,7,3,0.5,positive
MTRO_2025-06-10,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.5,0.5,2,0,30,30,50,40,3,3.0,1,5,0.3,positive
GLE_2025-06-10,1,0.0,0.0,0,0,0.0,0.0,0,1,0.5,-0.5,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,-0.25,24,0.0,0.0,0.0,0.0,0.5,0.2,7,0,54,378,18,36,3,2.5,0,1,0.5,neutral
CAN_2025-06-05,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,1,0.0,0.1,0,1,0,0.0,0.0,0,0,0.23188406,69,0.0,0.25,0.0,0.0,0.5,0.2,17,0,12,92,0,12,3,2.0,0,0,0.75,positive
GRID_2025-05-19,0,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,4,0.0,0.0,0.0,0.0,0.5,0.0,1,0,120,520,0,360,3,2.5,0,0,0.5,positive
RWS_2025-04-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99,297,0,99,3,2.5,0,0,0.5,positive
CREO_2025-02-17,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.32246378,46,0.0,0.33333334,0.3,0.0,0.7,0.53333336,29,0,73,73,0,0,3,2.5,3,0,0.5,negative
IPX_2025-02-14,3,0.0,0.0,0,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,2,0.0,0.0,0,0,0.33333334,9,0.0,1.0,0.2,0.0,0.8,0.7,6,0,42,168,0,0,3,2.5,0,0,0.5,negative
CVSG_2024-11-21,1,0.0,0.0,0,0,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.3181818,22,0.0,0.5,0.4,0.0,0.75,0.55,13,0,48,368,0,64,3,2.0,0,0,0.75,neutral
LIO_2024-11-21,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,-0.06666667,5,0.0,0.0,0.5,0.0,0.6,0.5,5,0,87,377,87,290,3,2.5,1,3,0.5,neutral
VTY_2024-11-20,0,0.0,0.0,0,0,0.0,0.0,0,1,0.5,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,,,,,,,,,,60,220,240,520,3,3.0,0,0,0.5,neutral
NIOX_2024-10-30,1,0.0,0.0,0,1,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.37962964,18,0.0,1.0,0.5,0.0,0.7,0.6,10,0,12,60,0,0,3,2.0,0,0,1.0,neutral
GROW_2024-10-30,1,0.0,0.0,0,0,0.0,0.0,0,1,0.5,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.33333334,12,0.0,0.0,0.2,0.0,0.6,0.5,6,0,132,528,0,132,4,2.5,0,0,0.5,negative
RWS_2024-10-29,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,1.0,0.3,0.0,0.7,0.5,1,0,99,297,0,99,3,2.5,0,0,0.5,positive
RCDO_2024-10-22,1,0.0,0.0,0,0,0.0,0.0,0,1,0.2,0.0,1,0,0.0,0.0,0,0,0,0.0,0.0,0,0,1.0,1,0.0,0.0,0.5,0.0,0.7,0.5,1,0,159,689,0,689,3,2.0,0,0,0.5,positive
JMAT_2024-10-14,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1,0.0,1.0,0.0,0.0,0.5,0.3,1,0,56,168,56,404,4,2.5,0,0,0.5,positive
GRI_2024-10-07,1,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,0.0,0.5,0,0,0.0,1,0.0,0.0,0.5,0.0,0.6,0.4,1,0,18,138,0,24,3,2.0,0,0,0.75,neutral
TSCO_2024-10-01,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.8666667,3,0.0,0.0,0.0,0.0,0.7,0.5,3,0,54,630,0,162,3,2.0,0,0,0.9,neutral
CML_2024-09-27,1,0.0,0.0,0,1,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.8,0.5,1,0,4,0,0,0,1,3.0,0,0,0.0,negative
BBB_2024-09-19,0,0.0,0.0,0,1,0.5,0.0,1,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,,,,,,,,,,,36,0,0,0,1,3.0,0,0,0.0,negative
BPCR_2024-09-13,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,2,0.0,0.0,0,0,0.0,1,0.0,0.0,0.0,0.0,0.5,0.5,1,0,108,216,0,108,3,2.5,0,0,0.5,positive
HAT_2024-08-20,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.33333334,4,0.0,0.0,0.5,0.0,0.6,0.4,3,0,32,64,0,0,1,2.5,0,0,0.5,neutral
SHC_2024-08-19,0,0.0,0.0,0,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,-1.0,1,0.0,0.0,0.5,0.0,0.7,0.5,1,0,102,816,0,204,3,2.0,0,0,0.8,neutral
TRIG_2024-08-14,2,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.2,3,0.0,1.0,0.0,0.0,0.7,0.5,3,0,45,195,0,165,3,2.0,0,0,0.8,neutral
EDEN_2024-08-13,0,0.0,0.0,0,0,0.0,0.0,0,4,0.0,0.0,1,3,0.0,0.0,0,0,1,0.0,0.0,0,0,0.0,1,0.0,1.0,0.5,0.0,0.7,0.6,1,0,26,0,0,0,1,3.0,0,0,0.0,negative
NWG_2024-08-06,1,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0,0.0,0.0,0,0,0.39953053,71,0.0,0.5,0.175,0.0,0.625,0.575,63,0,66,726,0,374,3,2.0,0,0,0.75,positive
PAY_2024-08-01,1,0.0,0.5,0,0,0.0,0.0,0,2,0.0,0.0,0,0,0.0,0.0,0,0,1,0.0,0.0,0,0,0.5833333,4,0.0,0.0,0.0,0.0,0.8,0.5,2,0,87,203,87,0,3,3.5,7,3,0.4,neutral
